10,SCADA
*
*------------------------------------------------------------------------------*
*  Creation Date/Time:  Tue Sep 28 15:19:23 2021
*------------------------------------------------------------------------------*
4,STATUS,5,3,4,83,8
*,record,pStation,Key,Name,SystemTimeSec,Quality,
,83,3,"01003023","2_KDPR2_TMPR22_20352",1632744033,0,
,84,3,"01003024","2_KDPR2_TMPR22_20389L",1632744033,16,
,85,3,"01003025","2_BUSPT_2B189",1632744033,16,
,86,3,"01003026","21_XFMR_P_T1_20289A",1632744033,16,
,87,3,"01003027","21_XFMR_P_T1_20252",1632744033,16,
,88,3,"01003028","21_XFMR_P_T2_20489A",1632744033,0,
,89,3,"01003029","21_XFMR_P_T2_20452",1632744033,16,
,90,3,"01003030","13_XFMR_S_T1_30189A",1632744033,0,
,91,3,"01003031","13_XFMR_S_T2_30289A",1632744033,16,
,92,3,"01003032","3_BUSTPT_3B189",1632744033,16,
,93,3,"01003033","3_KDPR2_PTPD1_30389A",1632744033,16,
,94,3,"01003034","3_KDPR2_PTPD1_30352",1632744033,16,
,95,3,"01003035","3_KDPR2_PTPD1_30389L",1632744033,16,
,96,3,"01003036","3_KDPR2_VKDR1_30489A",1632744033,16,
,97,3,"01003037","3_KDPR2_VKDR1_30452",1632744033,16,
,98,3,"01003038","3_KDPR2_VKDR1_30489L",1632744033,16,
,99,3,"01003039","3_KDPR2_KDPR3_30589A",1632744033,16,
,100,3,"01003040","3_KDPR2_KDPR3_30552",1632744033,16,
,101,3,"01003041","3_KDPR2_KDPR3_30589L",1632744033,16,
,102,3,"01003042","3_FUTR1_KDPR2_30689A",1632744033,16,
,103,3,"01003043","3_FUTR1_KDPR2_30652",1632744033,16,
,104,3,"01003044","3_FUTR1_KDPR2_30689L",1632744033,16,
,105,3,"01003045","3_KDPR2_FUTR2_30789A",1632744033,16,
,106,3,"01003046","3_KDPR2_FUTR2_30752",1632744033,16,
,107,3,"01003047","3_KDPR2_FUTR2_30789L",1632744033,16,
,108,3,"01003048","13_XFMR_S_T1_30152",1632744033,16,
,109,3,"01003049","13_XFMR_S_T2_30252",1632744033,16,
,110,4,"01004001","21_XFMR_P_T1_10489A",1632744033,0,
,111,4,"01004002","21_XFMR_P_T1_10452",1632744033,0,
,112,4,"01004003","21_XFMR_P_T2_10589A",1632744033,0,
,113,4,"01004004","21_XFMR_P_T2_10552",1632744033,0,
